Tcmb TR Beta
2.734976207820349448e+00 1.351835315793398218e+00 -2.590059376439541872e+00
2.729924151267746790e+00 1.198868460453214269e+00 -2.606766163937194847e+00
2.734859492540844261e+00 9.912035126199827406e-01 -2.624908255352326414e+00
2.729954282908308993e+00 1.324991400933450247e+00 -2.639763984018882681e+00
2.730107087614494610e+00 1.145454675433424052e+00 -2.642094770311821605e+00
2.724221052069577098e+00 1.161609066641246413e+00 -2.553968229315453975e+00
2.730983489549686283e+00 1.214324200842393564e+00 -2.621163948545321531e+00
2.734952824262419036e+00 1.144235238128113119e+00 -2.616256031451127839e+00
2.726295575663824078e+00 1.232684851348789135e+00 -2.642486676381273547e+00
2.731178192729426968e+00 1.128831473335051516e+00 -2.629718553981994944e+00
2.730823197496339727e+00 1.220611522689164730e+00 -2.611612853958229508e+00
2.726320320141515374e+00 1.274373044538873678e+00 -2.641924746116046663e+00
2.725876653836195374e+00 1.228434200551155708e+00 -2.562533993794567699e+00
2.728273324776831377e+00 1.079274828528173691e+00 -2.592298144914849445e+00
2.729909621750076454e+00 1.142369752830573848e+00 -2.579514559085699155e+00
2.729812635537825383e+00 1.324925791759839822e+00 -2.590900018995599297e+00
2.733876288592123949e+00 1.070685786450685573e+00 -2.623283766969617403e+00
2.729265993187536932e+00 1.015543330530424893e+00 -2.595801075377556444e+00
2.726302120293881082e+00 1.243558591423734150e+00 -2.606277977913194377e+00
2.734451807401866219e+00 9.956394407642438216e-01 -2.640052261935592171e+00
2.728834270592385813e+00 1.241075903745716857e+00 -2.616103434707389042e+00
2.735231872838052691e+00 1.004404251417406524e+00 -2.679661818843128707e+00
2.735279311776308564e+00 1.176976017914354244e+00 -2.591866966378166381e+00
2.728378584338929436e+00 1.332467324374320361e+00 -2.567874337456238720e+00
2.734622344019792983e+00 1.299213967914305767e+00 -2.567166331261941714e+00
2.734187520238047675e+00 1.067762425852641028e+00 -2.649730831966153666e+00
2.726604318861116205e+00 1.282540000012075909e+00 -2.568813095710963168e+00
2.727648284513239929e+00 1.251022052643921745e+00 -2.565670683485140380e+00
2.731168730459865301e+00 1.251779125426077499e+00 -2.599786167924774460e+00
2.727441194890230847e+00 1.224622166127136591e+00 -2.528693225367954156e+00
2.729380277785175668e+00 1.267867686831069651e+00 -2.661923341647839614e+00
2.728145904915466602e+00 1.338697290045232080e+00 -2.615298172420567724e+00
2.726625189198642829e+00 1.327717519149320236e+00 -2.599305592083106298e+00
2.727190777912506636e+00 1.293712474616284247e+00 -2.611609541505723442e+00
2.731093772706164380e+00 1.139108099605514957e+00 -2.580624893250251795e+00
2.727027822363438769e+00 1.297236724707766964e+00 -2.641460802341820013e+00
2.728455619636451779e+00 1.142825474250062978e+00 -2.591381513091727484e+00
2.728104057805241123e+00 1.250204960047137437e+00 -2.612205817691735099e+00
2.727981101031524247e+00 1.325007571193633771e+00 -2.593156121276596338e+00
2.725707935274044313e+00 1.076441762996213303e+00 -2.699416195580568001e+00
2.736779187263089330e+00 1.074642745106354269e+00 -2.610322419397506977e+00
2.724567582647543951e+00 1.376539756301033535e+00 -2.602879043805480741e+00
2.732129128432601473e+00 1.106172884049177130e+00 -2.621183648397730437e+00
2.731349665239686697e+00 1.108889218874476112e+00 -2.647712963182117463e+00
2.729594141880658853e+00 1.084652282101880250e+00 -2.633188791863894096e+00
2.724647453854529555e+00 1.306395480647355223e+00 -2.626631108480806276e+00
2.735788925110016923e+00 1.090515740145973966e+00 -2.608604311414661758e+00
2.730578554458457763e+00 1.129658578140813940e+00 -2.613895470529667087e+00
2.728345790321073494e+00 1.089358762281777082e+00 -2.679291386341811076e+00
2.730749073881918676e+00 1.188409167564362878e+00 -2.636855091180196453e+00
2.738270746442834636e+00 9.123929963188062153e-01 -2.646650654764367339e+00
2.730326677612703534e+00 1.228855607039611497e+00 -2.646453351228839956e+00
2.728331727890409120e+00 1.198220883004230908e+00 -2.625342413393230601e+00
2.722003746327381624e+00 1.420540623581497464e+00 -2.581439397223688204e+00
2.727133236559733831e+00 1.221745030266149890e+00 -2.605810206492952474e+00
2.730649009283706796e+00 1.159279758384452297e+00 -2.544071262396847999e+00
2.736846414209145983e+00 1.029863937960053599e+00 -2.662158415490770480e+00
2.723222348649243507e+00 1.360882830526392251e+00 -2.575710362724966451e+00
2.722003746327381624e+00 1.420540623581497464e+00 -2.581439397223688204e+00
2.734165833949774083e+00 1.266479503774980309e+00 -2.639363616767703924e+00
2.727626753907195667e+00 1.307370657355088062e+00 -2.579249164291631757e+00
2.724323021349758900e+00 1.393034215741636661e+00 -2.536761982012095018e+00
2.728222724213193118e+00 1.423810962668942803e+00 -2.563226023521774977e+00
2.728790858885466353e+00 1.218538119842430989e+00 -2.632993244987476444e+00
2.725574461924552772e+00 1.141041102873054491e+00 -2.648229476364488022e+00
2.727539957519486080e+00 1.179526358885311099e+00 -2.625735687446232092e+00
2.730879088673956900e+00 1.133028358443830541e+00 -2.607262046612735418e+00
2.734220775300008732e+00 1.088167397881919518e+00 -2.652612187563100576e+00
2.730994216391888774e+00 1.286259067676208900e+00 -2.628961337085665484e+00
2.728151771787612034e+00 1.168267319557755535e+00 -2.634299426594600035e+00
2.726872686317189487e+00 1.357258228715606307e+00 -2.576237485978590591e+00
2.735114524058287699e+00 1.003161907107545270e+00 -2.650631343386601557e+00
2.733434455921781581e+00 1.183098939726471510e+00 -2.640073622628760219e+00
2.729594141880658853e+00 1.084652282101880250e+00 -2.633188791863894096e+00
2.735155078321529931e+00 1.199918455830896846e+00 -2.637803606892386021e+00
2.731429664341939123e+00 1.083128965437183178e+00 -2.657275920762520727e+00
2.728402389778920245e+00 1.206220277965849075e+00 -2.614049327931380340e+00
2.732562428680696875e+00 1.001875379561837809e+00 -2.682966161727819099e+00
2.723629687133892308e+00 1.411594979811206185e+00 -2.579725163732154769e+00
2.727420023510187530e+00 1.527982415571103036e+00 -2.543239202696844004e+00
2.730117333441290928e+00 1.209904632663012292e+00 -2.594616391596545668e+00
2.724954618937826645e+00 1.379468936123872114e+00 -2.561737980843158624e+00
2.733230480020452102e+00 1.208223025857432464e+00 -2.497560743744299039e+00
2.733521103816073605e+00 1.391162469700881310e+00 -2.607769885667392984e+00
2.730531756955495659e+00 1.194736906979440905e+00 -2.622529438001127922e+00
2.730645467739760690e+00 1.181064182075867830e+00 -2.589854767606729169e+00
2.734875513456185736e+00 1.013011547739807172e+00 -2.607304845370222779e+00
2.727005753444389669e+00 1.180191688485937807e+00 -2.611638880723214484e+00
2.727517382483770625e+00 1.334114633722120136e+00 -2.557946992028186983e+00
2.725574461924552772e+00 1.141041102873054491e+00 -2.648229476364488022e+00
2.725265125000900568e+00 1.218825886487663102e+00 -2.604056416756051817e+00
2.742847561568745984e+00 1.233107951636734034e+00 -2.642229647072414700e+00
2.729418212509534314e+00 1.173013099521289071e+00 -2.644462016602785681e+00
2.728808376131589775e+00 1.414152586677807744e+00 -2.616626690524251231e+00
2.725574669465084643e+00 1.259793179292958865e+00 -2.606489484101727427e+00
2.722463921031867962e+00 1.193814348046239315e+00 -2.613144602639103198e+00
2.726457173378369347e+00 1.433717156385633018e+00 -2.616967791690605338e+00
2.728378584338929436e+00 1.332467324374320361e+00 -2.567874337456238720e+00
2.736149727840952117e+00 1.087661105027672992e+00 -2.648884923786793522e+00
2.731670235604766628e+00 1.056922242679245505e+00 -2.646118630545666761e+00
2.728363830609462859e+00 1.345951652154605549e+00 -2.623094228098759473e+00
2.724151931944640559e+00 1.403494669087920421e+00 -2.549208705631356153e+00
2.737959687007448295e+00 9.056607102128451103e-01 -2.720114270248494392e+00
2.720805865678154856e+00 1.409055168808897029e+00 -2.561611919753725708e+00
2.726780484408762639e+00 1.233333351727422533e+00 -2.634354217398597875e+00
2.726292215777117001e+00 1.400990715688171795e+00 -2.581749031747140322e+00
2.728239380294988248e+00 1.290591302265325924e+00 -2.575876507926954773e+00
