01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:31 [ultranest] [DEBUG] iteration=1311, ncalls=3636, regioncalls=24000, ndraw=1000, logz=-13991.59, remainder_fraction=100.0000%, Lmin=-13980.18, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1320, ncalls=3636, regioncalls=24000, ndraw=1000, logz=-13480.39, remainder_fraction=100.0000%, Lmin=-13457.18, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1333, ncalls=3718, regioncalls=26000, ndraw=1000, logz=-12111.43, remainder_fraction=100.0000%, Lmin=-11923.48, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1344, ncalls=3759, regioncalls=27000, ndraw=1000, logz=-11403.12, remainder_fraction=100.0000%, Lmin=-11309.31, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1350, ncalls=3759, regioncalls=27000, ndraw=1000, logz=-11021.79, remainder_fraction=100.0000%, Lmin=-10979.20, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1364, ncalls=3867, regioncalls=29000, ndraw=1000, logz=-10326.34, remainder_fraction=100.0000%, Lmin=-10221.11, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1380, ncalls=3915, regioncalls=30000, ndraw=1000, logz=-9625.59, remainder_fraction=100.0000%, Lmin=-9530.28, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1396, ncalls=3999, regioncalls=32000, ndraw=1000, logz=-9046.93, remainder_fraction=100.0000%, Lmin=-8839.08, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1402, ncalls=4081, regioncalls=34000, ndraw=1000, logz=-8769.02, remainder_fraction=100.0000%, Lmin=-8714.93, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1410, ncalls=4081, regioncalls=34000, ndraw=1000, logz=-8390.73, remainder_fraction=100.0000%, Lmin=-8378.73, Lmax=-11.53
